As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
01/03/2022,9,-,-,Cocomelon,TV Show,,"Jun 1, 2020",428,1474
25/02/2022,10,-,-,Cocomelon,TV Show,,"Jun 1, 2020",427,1472
01/02/2022,9,-,7,Cocomelon,TV Show,,"Jun 1, 2020",426,1471
29/01/2022,8,5,8,Cocomelon,TV Show,,"Jun 1, 2020",425,1469
28/01/2022,5,6,-,Cocomelon,TV Show,,"Jun 1, 2020",424,1466
27/01/2022,6,6,-,Cocomelon,TV Show,,"Jun 1, 2020",423,1460
26/01/2022,6,7,-,Cocomelon,TV Show,,"Jun 1, 2020",422,1455
25/01/2022,7,10,-,Cocomelon,TV Show,,"Jun 1, 2020",421,1450
24/01/2022,10,-,-,Cocomelon,TV Show,,"Jun 1, 2020",420,1446
22/01/2022,8,-,10,Cocomelon,TV Show,,"Jun 1, 2020",419,1445
15/01/2022,10,9,-,Cocomelon,TV Show,,"Jun 1, 2020",418,1442
14/01/2022,9,10,-,Cocomelon,TV Show,,"Jun 1, 2020",417,1441
13/01/2022,10,-,-,Cocomelon,TV Show,,"Jun 1, 2020",416,1439
01/01/2022,10,8,9,Cocomelon,TV Show,,"Jun 1, 2020",415,1438
31/12/2021,8,9,6,Cocomelon,TV Show,,"Jun 1, 2020",414,1437
30/12/2021,9,8,6,Cocomelon,TV Show,,"Jun 1, 2020",413,1434
29/12/2021,8,9,6,Cocomelon,TV Show,,"Jun 1, 2020",412,1432
28/12/2021,9,9,8,Cocomelon,TV Show,,"Jun 1, 2020",411,1429
27/12/2021,9,-,9,Cocomelon,TV Show,,"Jun 1, 2020",410,1427
25/12/2021,9,6,9,Cocomelon,TV Show,,"Jun 1, 2020",409,1425
24/12/2021,6,6,8,Cocomelon,TV Show,,"Jun 1, 2020",408,1423
23/12/2021,6,6,8,Cocomelon,TV Show,,"Jun 1, 2020",407,1418
