gender,region,education,income,customer lifetime value,policy type,vehicle class,monthly premium auto,total claim amount,number of open complaints
0,,East,Master,37824.84705495949,1.8207151761459173,Personal Auto,Four-Door Car,1000.0,2.704934,0.0
1,F,Central,Bachelor,37824.84705495949,6.979535899999999,Personal Auto,Four-Door Car,94.0,1131.464935,0.0
2,F,Central,Bachelor,48767.0,12.887431699999999,Personal Auto,Two-Door Car,108.0,566.472247,0.0
3,M,West Region,Bachelor,37824.84705495949,7.6458618000000005,Corporate Auto,SUV,106.0,529.881344,0.0
4,M,East,High School or Below,36357.0,5.3630765,Personal Auto,Four-Door Car,68.0,17.269323,0.0
5,F,North West,Bachelor,62902.0,8.2562978,Personal Auto,Two-Door Car,69.0,159.383042,0.0
6,F,North West,College,55350.0,5.3808986,Corporate Auto,Four-Door Car,67.0,321.6,0.0
7,M,Central,Master,37824.84705495949,7.2161003,Corporate Auto,Four-Door Car,101.0,363.02968,0.0
8,M,North West,Bachelor,14072.0,24.127504,Corporate Auto,Four-Door Car,71.0,511.2,0.0
9,F,North West,College,28812.0,7.3881781,Special Auto,Four-Door Car,93.0,425.527834,0.0
10,M,West Region,College,37824.84705495949,4.7389920000000005,Personal Auto,Four-Door Car,67.0,482.4,0.0
11,,West Region,College,37824.84705495949,8.1971971,Personal Auto,SUV,110.0,528.0,0.0
12,,West Region,Master,77026.0,8.798796999999999,Corporate Auto,Four-Door Car,110.0,472.029737,0.0
13,,Central,High School or Below,99845.0,8.8190189,Corporate Auto,SUV,110.0,528.0,0.0
14,,West Region,College,83689.0,5.3844317,Corporate Auto,Four-Door Car,70.0,307.139132,0.0
15,,North West,Bachelor,24599.0,7.463139399999999,Corporate Auto,Four-Door Car,64.0,42.920271,0.0
16,,Central,High School or Below,25049.0,2.5668678,Personal Auto,Two-Door Car,67.0,454.245098,0.0
17,,Cali,College,28855.0,3.9452415999999997,Personal Auto,SUV,101.0,647.442031,0.0
18,,North West,College,51148.0,5.710333100000001,Personal Auto,Four-Door Car,72.0,308.981664,0.0
19,,West Region,High School or Below,66140.0,8.1626171,Corporate Auto,Four-Door Car,101.0,484.8,0.0
20,,North West,High School or Below,57749.0,2.8720513,Personal Auto,Two-Door Car,74.0,355.2,0.0
21,M,East,Bachelors,61040.0,6.177109300000001,Personal Auto,Two-Door Car,79.0,20.382876,0.0
22,,Central,Bachelor,14072.0,24.127504,Personal Auto,Four-Door Car,71.0,511.2,0.0
23,,Central,Bachelor,37824.84705495949,2.4501910000000002,Corporate Auto,Four-Door Car,73.0,554.376763,0.0
24,,West Region,Bachelor,17870.0,2.3921079,Corporate Auto,Four-Door Car,61.0,439.2,0.0
25,,North West,College,97541.0,5.802066,Personal Auto,Four-Door Car,72.0,389.185006,0.0
26,,West Region,Bachelor,37824.84705495949,3.9463721,Personal Auto,Four-Door Car,111.0,799.2,0.0
27,M,East,College,29723.0,9.162063199999999,Personal Auto,Four-Door Car,80.0,20.985105,0.0
28,,Central,College,86584.0,12.9025601,Personal Auto,Four-Door Car,111.0,532.8,0.0
29,,North West,Master,75690.0,3.2353605,Personal Auto,Four-Door Car,80.0,384.0,0.0
30,,Central,College,23158.0,2.4545835,Personal Auto,Four-Door Car,63.0,322.294043,0.0
31,,Central,High School or Below,65999.0,18.975456100000002,Corporate Auto,Luxury SUV,237.0,615.927769,0.0
32,,West Region,Bachelor,37824.84705495949,4.7153213,Personal Auto,Four-Door Car,65.0,308.15089,0.0
33,F,East,College,37824.84705495949,4.7378716999999995,Personal Auto,SUV,130.0,23.820158,0.0
34,,North West,Bachelor,37260.0,4.9329163000000005,Corporate Auto,Four-Door Car,62.0,15.437681,0.0
35,,Central,High School or Below,68987.0,5.7442297,Personal Auto,Four-Door Car,71.0,204.475147,0.0
36,,West Region,Bachelor,42305.0,13.8917357,Personal Auto,Four-Door Car,117.0,561.6,0.0
37,,North West,Master,65706.0,7.380976700000001,Personal Auto,Four-Door Car,91.0,436.8,0.0
38,,North West,Bachelor,37824.84705495949,3.0900340999999996,Personal Auto,Two-Door Car,90.0,648.0,0.0
39,,Central,High School or Below,53243.0,2.5216331,Personal Auto,Four-Door Car,66.0,157.397849,0.0
40,,Central,High School or Below,37824.84705495949,2.6520618,Corporate Auto,Two-Door Car,70.0,484.318536,0.0
41,,North West,College,50071.0,2.771045,Corporate Auto,Two-Door Car,71.0,18.918935,0.0
42,,West Region,Bachelor,60021.0,3.9390064000000002,Personal Auto,Four-Door Car,99.0,882.871945,0.0
43,,Central,High School or Below,43244.0,12.2318797,Personal Auto,Sports Car,103.0,494.4,0.0
44,M,East,Doctor,46896.0,4.9516561,Personal Auto,Four-Door Car,35354.0,31.707317,0.0
45,,North West,Doctor,10105.0,12.8191029,Personal Auto,SUV,172.0,0.517753,0.0
46,,Central,Bachelor,37824.84705495949,4.4685105,Personal Auto,Four-Door Car,73.0,579.165954,0.0
47,,North West,High School or Below,23218.0,5.514344,Personal Auto,Two-Door Car,71.0,447.79344,0.0
48,,West Region,Bachelor,37824.84705495949,3.3438753,Corporate Auto,Four-Door Car,92.0,529.624084,0.0
49,,Central,High School or Below,37824.84705495949,2.2944789,Personal Auto,Four-Door Car,62.0,313.023175,0.0
50,,North West,College,24804.0,36.7074264,Personal Auto,SUV,104.0,593.830288,0.0
51,,West Region,Bachelor,33190.0,33.473349500000005,Corporate Auto,SUV,106.0,508.8,0.0
52,,Central,High School or Below,36014.0,7.983431700000001,Special Auto,Four-Door Car,69.0,173.956072,0.0
53,F,East,Master,67163.0,4.8793847999999995,Personal Auto,Two-Door Car,61.0,33.192803,0.0
54,,West Region,Bachelor,16701.0,4.2939973,Personal Auto,Four-Door Car,113.0,831.625979,0.0
55,,Central,College,46623.0,7.1643955,Corporate Auto,Four-Door Car,91.0,436.8,0.0
56,,West Region,College,64749.0,7.619515799999999,Special Auto,Four-Door Car,64.0,302.56519,0.0
57,,Central,High School or Below,37824.84705495949,3.9580028000000005,Personal Auto,SUV,101.0,484.8,0.0
58,,North West,High School or Below,16969.0,4.4994933,Personal Auto,SUV,124.0,704.768111,0.0
59,,North West,Master,11621.0,4.0595674,Personal Auto,Four-Door Car,108.0,518.4,0.0
60,,Central,Bachelor,17622.0,4.4581134,Personal Auto,Four-Door Car,65.0,312.0,0.0
61,,West Region,Bachelor,11489.0,8.1103331,Personal Auto,Two-Door Car,105.0,504.0,0.0
62,,North West,Bachelor,37824.84705495949,3.3397649,Personal Auto,Two-Door Car,94.0,863.327324,0.0
63,,West Region,High School or Below,66525.0,24.261017799999998,Personal Auto,SUV,100.0,104.331355,0.0
64,,Central,Bachelor,37824.84705495949,6.6139737,Personal Auto,Four-Door Car,63.0,676.391482,0.0
65,,East,College,33663.0,2.9306935,Personal Auto,Four-Door Car,73.0,350.4,0.0
66,,North West,College,22547.0,8.672194300000001,Corporate Auto,SUV,112.0,537.6,0.0
67,,Central,High School or Below,61486.0,11.6386693,Personal Auto,Two-Door Car,97.0,465.258644,0.0
68,,North West,Bachelor,37824.84705495949,6.846150300000001,Personal Auto,Two-Door Car,95.0,456.0,0.0
69,,West Region,College,29879.0,11.7277765,Personal Auto,Four-Door Car,102.0,500.254235,0.0
70,,North West,High School or Below,93011.0,22.6438348,Personal Auto,SUV,113.0,281.451042,0.0
71,,North West,Master,65186.0,2.6144743,Personal Auto,Two-Door Car,65.0,5.434505,0.0
72,,North West,Master,26840.0,2.4517526999999997,Personal Auto,Four-Door Car,64.0,307.2,0.0
73,,North West,Bachelor,37824.84705495949,6.7812702,Personal Auto,Sports Car,104.0,982.399613,0.0
74,,North West,Bachelor,75644.0,4.9748015,Personal Auto,Two-Door Car,65.0,467.803638,0.0
75,,North West,Bachelor,38984.0,8.5916049,Personal Auto,Four-Door Car,73.0,350.4,0.0
76,,North West,High School or Below,71811.0,5.5921614,Personal Auto,Four-Door Car,71.0,29.03416,0.0
77,,Central,College,20961.0,8.009472800000001,Personal Auto,Four-Door Car,67.0,321.6,0.0
78,F,East,Master,41275.0,1.8207151761459173,Personal Auto,Four-Door Car,96.0,41.122303,0.0
79,,West Region,Bachelor,61321.0,58.1665535,Personal Auto,Luxury Car,186.0,427.63121,0.0
80,,West Region,College,37824.84705495949,8.025229399999999,Personal Auto,Two-Door Car,77.0,25.807685,0.0
81,,West Region,High School or Below,51066.0,5.7801822,Personal Auto,Four-Door Car,74.0,787.993313,0.0
82,,West Region,Doctor,34378.0,4.1185391,Personal Auto,SUV,102.0,489.6,0.0
83,,Central,Master,43072.0,2.5230702,Personal Auto,Four-Door Car,63.0,302.4,0.0
84,,North West,College,25222.0,6.5542164000000005,Personal Auto,Four-Door Car,90.0,475.623251,0.0
85,F,East,Bachelor,77552.0,5.382751999999999,Corporate Auto,Four-Door Car,68.0,45.215059,0.0
86,,West Region,College,23091.0,5.926729399999999,Personal Auto,Four-Door Car,96.0,460.8,0.0
87,,West Region,Bachelor,48269.0,2.6834707,Corporate Auto,Four-Door Car,69.0,282.151207,0.0
88,,North West,Bachelor,32720.0,2.6951823999999998,Personal Auto,Four-Door Car,67.0,321.6,0.0
89,,West Region,College,20396.0,6.0470252,Personal Auto,Four-Door Car,76.0,364.8,0.0
